,date,buy,sell,sum,change
0,2014-10-22,-1.0,-11.0,-12.0,-0.06457126993489026
1,2014-10-23,-1.0,-11.0,-12.0,-0.00020085822270399234
2,2014-10-24,-1.0,-11.0,-12.0,-0.030903193763263892
3,2014-10-25,-1.0,-11.0,-12.0,0.021404073722298467
4,2014-10-26,-1.0,-11.0,-12.0,-0.0048350059532734635
5,2014-10-27,-1.0,-11.0,-12.0,0.013113714071565807
6,2014-10-28,-1.0,-11.0,-12.0,-0.0615936762759971
7,2014-10-29,-1.0,-11.0,-12.0,0.028945919029897293
8,2014-10-30,-1.0,-11.0,-12.0,-0.020225537254250026
9,2014-10-31,-1.0,-11.0,-12.0,-0.037160035823255
10,2014-11-01,-1.0,-11.0,-12.0,0.00043900365948323916
11,2014-11-02,-1.0,-11.0,-12.0,0.005099812239022894
12,2014-11-03,-1.0,-11.0,-12.0,0.008969568759880753
13,2014-11-04,-1.0,-11.0,-12.0,0.02721393525756821
14,2014-11-05,-1.0,-11.0,-12.0,0.028879003054712138
15,2014-11-06,0.0,-10.0,-10.0,-0.01968278457114414
16,2014-11-07,0.0,-10.0,-10.0,0.008974483942670863
17,2014-11-08,0.0,-10.0,-10.0,0.051451861250859654
18,2014-11-09,0.0,-10.0,-10.0,0.010075325161308157
19,2014-11-10,0.0,-10.0,-10.0,0.0021012416110319787
20,2014-11-11,0.0,-10.0,-10.0,0.15193569925196182
21,2014-11-12,0.0,-10.0,-10.0,-0.006672049519761636
22,2014-11-13,0.0,-10.0,-10.0,-0.054468947953068225
23,2014-11-14,0.0,-10.0,-10.0,-0.05450984465652364
24,2014-11-15,-1.0,-11.0,-12.0,0.031236273139940263
25,2014-11-16,0.0,-10.0,-10.0,-0.0012220185866893551
26,2014-11-17,2.0,-8.0,-6.0,-0.031517140366671303
27,2014-11-18,2.0,-8.0,-6.0,0.014277781407564971
28,2014-11-19,2.0,-8.0,-6.0,-0.05968913144702859
29,2014-11-20,2.0,-8.0,-6.0,-0.019539470372674672
30,2014-11-21,1.0,-9.0,-8.0,0.005905751343162846
31,2014-11-22,0.0,-10.0,-10.0,0.0415192804608675
32,2014-11-23,1.0,-9.0,-8.0,0.0253772802973955
33,2014-11-24,1.0,-9.0,-8.0,-0.004120469290024409
34,2014-11-25,1.0,-9.0,-8.0,-0.0185907401897063
35,2014-11-26,1.0,-9.0,-8.0,0.0035291093673359697
36,2014-11-27,2.0,-8.0,-6.0,0.018332506726749465
37,2014-11-28,2.0,-8.0,-6.0,-0.0025395182399001737
38,2014-11-29,2.0,-8.0,-6.0,0.006807087308141391
39,2014-11-30,2.0,-8.0,-6.0,0.0031689128851881687
40,2014-12-01,2.0,-8.0,-6.0,0.00545823155820413
