date,open,high,low,close,volume,QAV,trades,TBAV,TQAV
2021-09-20 18:30:00+04:30,50.27,50.34,49.72,50.13,40309.2,2019600.0504,3831.0,19241.09,964180.9476
2021-09-20 19:00:00+04:30,50.12,50.14,49.73,49.94,33490.31,1672557.3421,2784.0,15654.91,781783.6674
2021-09-20 19:30:00+04:30,49.94,50.14,49.49,50.13,37751.12,1880746.0405,2737.0,18631.76,928359.2217
2021-09-20 20:00:00+04:30,50.14,51.24,50.1,50.62,97872.43,4957108.6856,7432.0,57698.46,2920452.3953
2021-09-20 20:30:00+04:30,50.61,50.86,50.11,50.79,47168.26,2380571.5219,3357.0,24312.17,1227597.776
2021-09-20 21:00:00+04:30,50.78,50.96,50.27,50.29,23707.8,1200828.6816,2232.0,12149.96,615330.9588
2021-09-20 21:30:00+04:30,50.29,50.65,50.11,50.62,17015.62,856441.8389,1516.0,9017.64,454018.0304
2021-09-20 22:00:00+04:30,50.63,50.94,50.26,50.8,18445.39,935267.8186,1469.0,9631.76,488124.5696
2021-09-20 22:30:00+04:30,50.81,50.87,50.02,50.03,35092.72,1766832.7107,2473.0,19158.41,964849.429
2021-09-20 23:00:00+04:30,50.02,50.12,49.47,49.61,39727.98,1979476.3716,2743.0,15083.39,750917.2423
2021-09-20 23:30:00+04:30,49.6,49.72,49.0,49.24,49933.75,2463224.4358,3810.0,26117.44,1288636.6657
2021-09-21 00:00:00+04:30,49.24,50.04,49.24,49.97,39110.05,1944382.7802,2794.0,20865.76,1037134.3535
2021-09-21 00:30:00+04:30,49.97,50.14,49.33,49.33,21645.51,1075296.8442,1969.0,8917.61,443243.386
2021-09-21 01:00:00+04:30,49.34,49.58,48.94,49.3,19630.08,965679.6605,2191.0,10680.62,525673.4987
2021-09-21 01:30:00+04:30,49.29,49.88,49.25,49.85,18155.34,901276.7764,1838.0,9914.81,492044.7342
2021-09-21 02:00:00+04:30,49.85,50.0,49.58,49.58,7672.64,382376.1907,818.0,3113.19,155255.1423
2021-09-21 02:30:00+04:30,49.58,50.56,49.58,50.3,18728.1,939318.3187,2121.0,11029.14,552962.9923
2021-09-21 03:00:00+04:30,50.31,50.35,49.14,49.36,33860.7,1680476.8467,2942.0,15451.01,766122.4636
2021-09-21 03:30:00+04:30,49.37,49.69,48.67,48.96,59415.92,2914851.842,4656.0,30495.83,1495937.6452
2021-09-21 04:00:00+04:30,48.94,49.23,48.74,49.11,37407.2,1832891.8788,3653.0,19166.74,939287.5525
2021-09-21 04:30:00+04:30,49.1,49.36,46.17,47.13,213963.046,10129965.903678,16464.0,99718.772,4721430.287396
2021-09-21 05:00:00+04:30,47.13,47.93,46.89,47.07,100684.66,4775451.0644,6649.0,50776.12,2408188.5461
2021-09-21 05:30:00+04:30,47.08,47.93,46.98,47.9,33681.53,1600034.522,3106.0,18521.08,879423.6949
2021-09-21 06:00:00+04:30,47.9,49.22,47.86,49.06,60028.76,2927042.315,5325.0,33772.37,1646860.1401
2021-09-21 06:30:00+04:30,49.06,49.52,48.89,49.41,39307.92,1936745.533,3199.0,19876.02,979229.9799
2021-09-21 07:00:00+04:30,49.41,49.74,49.22,49.59,22553.48,1116949.6457,2202.0,11967.64,592722.9014
2021-09-21 07:30:00+04:30,49.58,50.2,49.48,49.66,48391.09,2408464.1683,3499.0,26961.56,1341826.0063
2021-09-21 08:00:00+04:30,49.67,49.76,49.06,49.17,22991.68,1134016.1917,2267.0,9538.9,470357.1858
2021-09-21 08:30:00+04:30,49.18,49.34,48.49,48.65,50920.95,2493261.5114,3487.0,27735.9,1359514.5556
2021-09-21 09:00:00+04:30,48.64,48.74,48.3,48.32,21238.77,1030114.6126,2018.0,11077.05,537431.3673
2021-09-21 09:30:00+04:30,48.31,48.67,47.99,48.27,33008.45,1593184.1335,2620.0,19906.45,960712.36
2021-09-21 10:00:00+04:30,48.26,48.83,48.14,48.7,26381.38,1280597.729,2267.0,14058.54,682823.7742
2021-09-21 10:30:00+04:30,48.7,49.2,48.69,49.12,25535.09,1251536.0476,2420.0,15239.56,746689.6957
2021-09-21 11:00:00+04:30,49.12,49.46,49.02,49.24,19127.25,942323.0675,1959.0,8372.73,412527.9484
2021-09-21 11:30:00+04:30,49.25,49.55,49.2,49.35,23178.82,1144538.8428,1924.0,11761.34,580547.7358
2021-09-21 12:00:00+04:30,49.36,49.9,49.04,49.82,37912.91,1878341.4093,2949.0,20780.39,1029121.361
2021-09-21 12:30:00+04:30,49.83,49.96,49.59,49.95,32586.89,1621878.7996,2357.0,17323.93,862091.3727
2021-09-21 13:00:00+04:30,49.96,50.23,49.77,50.05,26612.54,1331444.884,2493.0,10944.78,547772.4017
2021-09-21 13:30:00+04:30,50.06,50.21,49.72,49.79,19597.52,978272.7091,1657.0,9773.25,487978.4323
2021-09-21 14:00:00+04:30,49.79,49.92,49.41,49.65,20092.59,997041.9249,1772.0,10114.37,501770.7734
2021-09-21 14:30:00+04:30,49.66,49.88,49.33,49.43,20828.7,1032973.0947,1618.0,8924.49,442654.9794
2021-09-21 15:00:00+04:30,49.44,50.29,49.29,50.05,30296.97,1511952.1419,2454.0,15561.81,776897.1888
