date,open,high,low,close,volume,QAV,trades,TBAV,TQAV
2020-04-08 04:30:00+04:30,164.62000000,174.48000000,163.59000000,173.11000000,1023575.92076000,173916484.78615510,287799,511443.62149000,86963287.60141520
2020-04-09 04:30:00+04:30,173.15000000,173.38000000,165.19000000,169.52000000,719837.24423000,122531131.95595830,212541,356967.49573000,60787119.84138850
2020-04-10 04:30:00+04:30,169.56000000,170.10000000,152.11000000,157.81000000,1314841.36200000,209535613.32367140,323430,623128.08335000,99285405.30938550
2020-04-11 04:30:00+04:30,157.81000000,161.37000000,153.91000000,158.33000000,621599.61289000,98275533.06263670,168046,313112.58332000,49512383.08581670
2020-04-12 04:30:00+04:30,158.33000000,164.78000000,155.00000000,158.59000000,809100.24594000,129919934.44376530,223429,396232.44593000,63624893.23050370
2020-04-13 04:30:00+04:30,158.56000000,158.97000000,150.00000000,156.29000000,1042091.03622000,160423270.30371500,255965,519763.88357000,80051376.52875040
2020-04-14 04:30:00+04:30,156.28000000,161.85000000,155.23000000,158.45000000,698030.65089000,110710086.10400900,178490,343955.51426000,54564372.10918630
2020-04-15 04:30:00+04:30,158.46000000,161.29000000,152.00000000,152.73000000,729119.66505000,114640840.11551650,186226,347034.48291000,54594699.03576640
2020-04-16 04:30:00+04:30,152.74000000,174.79000000,148.33000000,172.29000000,1647207.59991000,273639160.06938750,389854,830355.78324000,137897793.15056740
2020-04-17 04:30:00+04:30,172.31000000,174.96000000,168.31000000,170.69000000,723537.75591000,123553456.31967860,191289,352005.34180000,60121889.86467380
2020-04-18 04:30:00+04:30,170.61000000,189.54000000,170.48000000,187.40000000,1127296.36979000,203132211.95640910,286172,569708.87703000,102696714.57128610
2020-04-19 04:30:00+04:30,187.40000000,188.35000000,175.75000000,180.03000000,995759.57750000,181415813.50269480,270668,478833.69271000,87227250.30026600
2020-04-20 04:30:00+04:30,180.02000000,186.46000000,166.70000000,170.20000000,1547821.52737000,273854539.80380100,365589,745586.67414000,131918687.66076710
2020-04-21 04:30:00+04:30,170.21000000,174.70000000,168.00000000,170.74000000,906381.65398000,155292048.43579020,228262,454400.78888000,77856857.48694720
