date,open,high,low,close,volume,QAV,trades,TBAV,TQAV
2021-08-10 08:30:00+04:30,3115.39000000,3128.93000000,3100.58000000,3124.00000000,10029.81591000,31238449.99926210,14759,5322.66998000,16581927.26971390
2021-08-10 09:00:00+04:30,3124.01000000,3125.40000000,3100.00000000,3100.00000000,12505.20383000,38841805.97777640,14778,4443.94151000,13811132.78631420
2021-08-10 09:30:00+04:30,3100.00000000,3137.00000000,3089.42000000,3126.02000000,16866.74798000,52591152.80613720,51344,7745.09165000,24161889.43520900
2021-08-10 10:00:00+04:30,3125.85000000,3134.63000000,3108.32000000,3112.77000000,8730.81868000,27229187.43614140,42226,4504.13644000,14047324.80059980
2021-08-10 10:30:00+04:30,3112.63000000,3119.42000000,3100.82000000,3108.26000000,9519.65127000,29594281.76447590,47697,4792.28411000,14901638.56837990
2021-08-10 11:00:00+04:30,3108.26000000,3128.30000000,3106.13000000,3121.82000000,8823.33945000,27524102.38912160,44483,4722.06826000,14728826.33280480
2021-08-10 11:30:00+04:30,3122.07000000,3122.07000000,3101.88000000,3116.34000000,8431.11242000,26222191.75148880,15063,3511.63003000,10922612.14615700
2021-08-10 12:00:00+04:30,3116.34000000,3147.78000000,3110.60000000,3141.21000000,24700.84470000,77361724.10893820,25682,15602.23581000,48867664.22868110
2021-08-10 12:30:00+04:30,3141.20000000,3153.93000000,3127.30000000,3151.86000000,15168.56291000,47662156.74279900,23072,8747.22681000,27489920.73463850
2021-08-10 13:00:00+04:30,3151.86000000,3163.89000000,3138.00000000,3163.29000000,12538.99653000,39501668.68083030,20805,6711.74050000,21143648.83668770
2021-08-10 13:30:00+04:30,3163.65000000,3172.00000000,3145.01000000,3147.03000000,16323.41181000,51575600.73738620,32992,8246.70828000,26056189.33606680
2021-08-10 14:00:00+04:30,3147.03000000,3156.53000000,3135.00000000,3145.28000000,13757.20870000,43306779.24715960,25758,7338.88144000,23103894.55777030
