"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 21, 2021","0.053082","0.050895","0.053284","0.050163","3.66M","4.80%"
"Jul 20, 2021","0.050652","0.051981","0.053252","0.048446","4.66M","-2.56%"
"Jul 19, 2021","0.051981","0.057916","0.057916","0.051450","1.67M","-10.25%"
"Jul 18, 2021","0.057916","0.061493","0.064887","0.057077","1.52M","-5.82%"
"Jul 17, 2021","0.061493","0.054089","0.063867","0.053509","4.23M","13.69%"
"Jul 16, 2021","0.054089","0.050623","0.061731","0.050623","11.89M","6.85%"
"Jul 15, 2021","0.050623","0.052632","0.053722","0.049900","2.34M","-3.82%"
"Jul 14, 2021","0.052632","0.050238","0.054044","0.047164","4.29M","4.76%"
"Jul 13, 2021","0.050238","0.050830","0.051550","0.048850","715.69K","-1.16%"
"Jul 12, 2021","0.050830","0.051654","0.053093","0.049646","1.61M","-2.24%"
"Jul 11, 2021","0.051995","0.050500","0.051995","0.050046","1.66M","2.96%"
"Jul 10, 2021","0.050500","0.052271","0.052931","0.049900","2.04M","-3.39%"
"Jul 09, 2021","0.052271","0.050511","0.053100","0.047570","3.74M","3.48%"
"Jul 08, 2021","0.050511","0.053311","0.053448","0.049056","3.01M","-5.25%"
"Jul 07, 2021","0.053311","0.053607","0.055287","0.053311","2.52M","-1.34%"
"Jul 06, 2021","0.054036","0.053269","0.054697","0.053269","1.68M","1.44%"
"Jul 05, 2021","0.053269","0.055697","0.055697","0.052123","1.32M","-4.36%"
"Jul 04, 2021","0.055697","0.056500","0.056500","0.055697","1.07M","-0.07%"
"Jul 03, 2021","0.055735","0.054577","0.055735","0.054577","1.31M","2.12%"
"Jul 02, 2021","0.054577","0.054214","0.054577","0.052630","1.65M","0.67%"
"Jul 01, 2021","0.054214","0.056146","0.056146","0.053215","1.23M","-3.44%"
"Jun 30, 2021","0.056146","0.057700","0.057700","0.054800","2.02M","-2.01%"
"Jun 29, 2021","0.057300","0.054186","0.058610","0.054186","1.11M","5.75%"
"Jun 28, 2021","0.054186","0.053991","0.054189","0.052442","2.33M","0.36%"
"Jun 27, 2021","0.053991","0.050623","0.053991","0.050623","2.89M","6.65%"
"Jun 26, 2021","0.050623","0.050248","0.050623","0.049828","2.01M","0.75%"
"Jun 25, 2021","0.050248","0.055460","0.055460","0.050248","2.57M","-9.59%"
"Jun 24, 2021","0.055576","0.052557","0.055997","0.052557","1.92M","5.74%"
"Jun 23, 2021","0.052557","0.048840","0.053768","0.048840","4.04M","7.61%"
"Jun 22, 2021","0.048840","0.051200","0.055054","0.041228","5.13M","-4.61%"
"Jun 21, 2021","0.051200","0.066536","0.066536","0.051200","2.57M","-23.05%"
"Jun 20, 2021","0.066536","0.066400","0.066536","0.064891","337.01K","0.21%"
"Jun 19, 2021","0.066400","0.066956","0.067167","0.066400","320.27K","-0.83%"
"Jun 18, 2021","0.066956","0.071391","0.071391","0.066573","940.36K","-6.21%"
"Jun 17, 2021","0.071391","0.070708","0.074200","0.070708","672.91K","0.97%"
"Jun 16, 2021","0.070708","0.076200","0.076200","0.070708","795.34K","-7.21%"
"Jun 15, 2021","0.076200","0.076804","0.077277","0.075416","690.06K","-0.79%"
"Jun 14, 2021","0.076804","0.074603","0.076804","0.074220","1.39M","2.95%"
"Jun 13, 2021","0.074603","0.069126","0.076186","0.069126","1.10M","7.92%"
"Jun 12, 2021","0.069126","0.070944","0.071360","0.067000","2.64M","-2.56%"
"Jun 11, 2021","0.070944","0.071316","0.072271","0.070944","2.09M","-0.52%"
"Jun 10, 2021","0.071316","0.075634","0.075634","0.071316","2.10M","-5.71%"
"Jun 09, 2021","0.075634","0.070287","0.075634","0.070287","1.19M","7.61%"
"Jun 08, 2021","0.070287","0.071300","0.071300","0.069753","1.44M","-1.42%"
"Jun 07, 2021","0.071300","0.078976","0.080562","0.071300","2.40M","-9.72%"
"Jun 06, 2021","0.078976","0.076227","0.078976","0.076227","728.13K","3.61%"
"Jun 05, 2021","0.076227","0.079625","0.082460","0.076227","593.73K","-4.27%"
"Jun 04, 2021","0.079625","0.087944","0.087944","0.078591","1.65M","-9.46%"
"Jun 03, 2021","0.087944","0.086545","0.087944","0.085001","2.00M","1.62%"
"Jun 02, 2021","0.086545","0.080600","0.086545","0.080600","1.15M","7.38%"
"Jun 01, 2021","0.080600","0.084000","0.084000","0.080542","670.79K","-4.05%"
"May 31, 2021","0.084000","0.078060","0.084000","0.076525","951.91K","7.61%"
"May 30, 2021","0.078060","0.076682","0.080862","0.072278","771.05K","1.80%"
"May 29, 2021","0.076682","0.081082","0.082682","0.075156","1.20M","-5.43%"
"May 28, 2021","0.081082","0.094500","0.094500","0.081082","2.26M","-14.20%"
"May 27, 2021","0.094500","0.101356","0.101356","0.094500","1.52M","-6.76%"
"May 26, 2021","0.101356","0.087009","0.101356","0.087009","5.58M","16.49%"
"May 25, 2021","0.087009","0.079672","0.087009","0.078453","4.81M","9.21%"
