"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 21, 2021","0.061960","0.057620","0.062450","0.056030","1.05B","7.22%"
"Jul 20, 2021","0.057790","0.061800","0.062800","0.056210","1.07B","-6.26%"
"Jul 19, 2021","0.061650","0.067630","0.067680","0.061530","705.97M","-8.64%"
"Jul 18, 2021","0.067480","0.065440","0.068810","0.065150","633.57M","3.13%"
"Jul 17, 2021","0.065430","0.065230","0.066550","0.063640","600.66M","0.25%"
"Jul 16, 2021","0.065270","0.069040","0.070430","0.065070","724.35M","-5.53%"
"Jul 15, 2021","0.069090","0.072550","0.073770","0.067700","689.27M","-4.78%"
"Jul 14, 2021","0.072560","0.072940","0.073670","0.068480","719.90M","-0.47%"
"Jul 13, 2021","0.072900","0.074960","0.075670","0.071670","523.26M","-2.83%"
"Jul 12, 2021","0.075020","0.077820","0.078980","0.073960","485.02M","-3.42%"
"Jul 11, 2021","0.077680","0.075970","0.079010","0.074930","396.81M","2.33%"
"Jul 10, 2021","0.075910","0.076980","0.078730","0.074640","513.86M","-1.47%"
"Jul 09, 2021","0.077040","0.072700","0.078240","0.072380","817.87M","1.18%"
"Jul 08, 2021","0.076140","0.083280","0.083600","0.075470","1.01B","-8.79%"
"Jul 07, 2021","0.083480","0.084400","0.085730","0.083200","635.20M","-1.05%"
"Jul 06, 2021","0.084370","0.083430","0.086660","0.083430","921.84M","1.21%"
"Jul 05, 2021","0.083360","0.087770","0.087770","0.083360","1.01B","-5.14%"
"Jul 04, 2021","0.087880","0.088070","0.089560","0.087350","857.43M","-0.94%"
"Jul 03, 2021","0.088710","0.086870","0.089510","0.084580","848.85M","2.34%"
"Jul 02, 2021","0.086680","0.085490","0.086680","0.082160","1.13B","2.52%"
"Jul 01, 2021","0.084550","0.090980","0.090980","0.083600","1.23B","-7.20%"
"Jun 30, 2021","0.091110","0.090510","0.093990","0.083140","1.74B","1.18%"
"Jun 29, 2021","0.090050","0.079470","0.093960","0.079470","1.89B","13.50%"
"Jun 28, 2021","0.079340","0.078020","0.080680","0.076300","958.13M","1.91%"
"Jun 27, 2021","0.077850","0.073990","0.077850","0.072240","890.32M","5.36%"
"Jun 26, 2021","0.073890","0.072330","0.074870","0.069750","1.40B","2.31%"
"Jun 25, 2021","0.072220","0.081000","0.082940","0.072220","1.78B","-10.44%"
"Jun 24, 2021","0.080640","0.076140","0.082560","0.072820","1.76B","5.90%"
"Jun 23, 2021","0.076150","0.071760","0.082890","0.071760","3.15B","6.61%"
"Jun 22, 2021","0.071430","0.073720","0.079160","0.064400","4.71B","-2.71%"
"Jun 21, 2021","0.073420","0.098390","0.098390","0.073420","2.22B","-25.40%"
"Jun 20, 2021","0.098420","0.096470","0.099410","0.090800","1.03B","1.71%"
"Jun 19, 2021","0.096770","0.099630","0.101250","0.096770","655.69M","-2.50%"
"Jun 18, 2021","0.099250","0.107130","0.107130","0.098140","852.46M","-7.39%"
"Jun 17, 2021","0.107170","0.107560","0.110670","0.105430","599.87M","-0.32%"
"Jun 16, 2021","0.107510","0.111340","0.112950","0.107430","884.32M","-3.48%"
"Jun 15, 2021","0.111390","0.113360","0.114160","0.111030","990.16M","-1.75%"
"Jun 14, 2021","0.113370","0.112510","0.114360","0.110840","1.35B","0.80%"
"Jun 13, 2021","0.112470","0.106700","0.113310","0.101200","1.48B","6.09%"
"Jun 12, 2021","0.106010","0.104640","0.107570","0.099360","1.86B","1.28%"
"Jun 11, 2021","0.104670","0.111820","0.113370","0.104550","1.75B","-6.50%"
"Jun 10, 2021","0.111950","0.120380","0.121700","0.111950","2.03B","-6.65%"
"Jun 09, 2021","0.119920","0.112960","0.119920","0.106270","2.76B","5.92%"
"Jun 08, 2021","0.113220","0.114300","0.114360","0.104370","3.70B","-1.18%"
"Jun 07, 2021","0.114570","0.127580","0.133460","0.114570","2.21B","-10.44%"
"Jun 06, 2021","0.127920","0.125130","0.133480","0.125130","1.59B","2.16%"
"Jun 05, 2021","0.125210","0.129710","0.139350","0.123890","2.59B","-3.08%"
"Jun 04, 2021","0.129190","0.143440","0.143440","0.126850","4.26B","-9.58%"
"Jun 03, 2021","0.142870","0.125340","0.142870","0.124520","2.33B","13.69%"
"Jun 02, 2021","0.125670","0.120980","0.128900","0.119660","1.64B","4.06%"
"Jun 01, 2021","0.120770","0.125750","0.126980","0.119570","2.14B","-4.24%"
"May 31, 2021","0.126120","0.106730","0.126120","0.102610","2.48B","17.24%"
"May 30, 2021","0.107570","0.098540","0.111820","0.095670","2.59B","8.77%"
"May 29, 2021","0.098900","0.108100","0.110880","0.093810","2.64B","-8.54%"
"May 28, 2021","0.108140","0.123210","0.123210","0.105470","3.46B","-12.19%"
"May 27, 2021","0.123150","0.132030","0.132030","0.121820","2.66B","-7.41%"
"May 26, 2021","0.133000","0.113130","0.135010","0.113130","4.14B","18.22%"
"May 25, 2021","0.112500","0.112170","0.117850","0.108440","3.44B","0.44%"
"May 24, 2021","0.112010","0.087300","0.112630","0.087300","5.28B","29.79%"
"May 23, 2021","0.086300","0.098900","0.102390","0.073000","6.26B","-13.26%"
"May 22, 2021","0.099490","0.108320","0.110580","0.095830","3.50B","-7.90%"
"May 21, 2021","0.108020","0.130760","0.137300","0.100310","5.34B","-17.69%"
"May 20, 2021","0.131230","0.106200","0.141390","0.100620","5.53B","23.59%"
"May 19, 2021","0.106180","0.161980","0.161980","0.092310","8.29B","-34.52%"
"May 18, 2021","0.162160","0.158260","0.170950","0.157790","1.91B","2.63%"
"May 17, 2021","0.158000","0.176510","0.176510","0.150540","2.67B","-10.50%"
"May 16, 2021","0.176530","0.173070","0.191480","0.162140","2.27B","2.47%"
"May 15, 2021","0.172270","0.186610","0.186910","0.172270","1.51B","-7.77%"
"May 14, 2021","0.186780","0.181480","0.190710","0.181480","1.36B","2.49%"
"May 13, 2021","0.182240","0.169850","0.185220","0.165930","3.43B","9.03%"
"May 12, 2021","0.167150","0.212860","0.214000","0.167150","1.79B","-21.39%"
"May 11, 2021","0.212620","0.202790","0.212620","0.198490","1.43B","4.82%"
"May 10, 2021","0.202840","0.233880","0.234580","0.202840","1.75B","-13.23%"
"May 09, 2021","0.233780","0.223640","0.233780","0.214100","1.66B","4.79%"
"May 08, 2021","0.223090","0.230270","0.230730","0.223090","1.26B","-3.08%"
"May 07, 2021","0.230170","0.215800","0.245260","0.215800","3.95B","6.83%"
"May 06, 2021","0.215450","0.207240","0.216880","0.203440","2.33B","3.94%"
"May 05, 2021","0.207290","0.191630","0.207290","0.190730","1.86B","9.75%"
"May 04, 2021","0.188870","0.210970","0.210970","0.188870","2.55B","-10.42%"
"May 03, 2021","0.210840","0.214080","0.219450","0.209170","1.58B","-2.01%"
"May 02, 2021","0.215160","0.204980","0.221150","0.204980","2.65B","5.45%"
"May 01, 2021","0.204040","0.201260","0.204940","0.196660","1.19B","1.52%"
"Apr 30, 2021","0.200980","0.191080","0.201460","0.188930","1.49B","5.07%"
"Apr 29, 2021","0.191280","0.198930","0.198930","0.185970","1.78B","-3.68%"
"Apr 28, 2021","0.198590","0.207610","0.212210","0.194210","2.31B","-4.89%"
"Apr 27, 2021","0.208800","0.187650","0.214420","0.187650","3.16B","10.70%"
"Apr 26, 2021","0.188610","0.168450","0.191910","0.168450","3.35B","12.36%"
"Apr 25, 2021","0.167860","0.178638","0.183830","0.162140","2.56B","-5.95%"
"Apr 24, 2021","0.178479","0.203250","0.203921","0.178479","3.13B","-11.38%"
"Apr 23, 2021","0.201394","0.190408","0.201394","0.164822","8.13B","5.74%"
"Apr 22, 2021","0.190453","0.228463","0.228463","0.190453","4.33B","-15.72%"
"Apr 21, 2021","0.225987","0.249849","0.249849","0.225987","2.34B","-10.05%"
"Apr 20, 2021","0.251237","0.230514","0.258291","0.219068","3.72B","10.00%"
"Apr 19, 2021","0.228392","0.254768","0.264214","0.225273","4.32B","-9.98%"
"Apr 18, 2021","0.253721","0.228424","0.253721","0.182871","5.31B","11.91%"
