,ISA_9,ISB_26,ITS_9,IKS_26,ICS_26
0,-1.0,-1.0,-1.0,-1.0,31760.0
1,-1.0,-1.0,-1.0,-1.0,31776.67
2,-1.0,-1.0,-1.0,-1.0,31784.58
3,-1.0,-1.0,-1.0,-1.0,31795.7
4,-1.0,-1.0,-1.0,-1.0,31815.85
5,-1.0,-1.0,-1.0,-1.0,31788.43
6,-1.0,-1.0,-1.0,-1.0,31808.33
7,-1.0,-1.0,-1.0,-1.0,31820.19
8,-1.0,-1.0,31793.925,-1.0,31795.52
9,-1.0,-1.0,31794.34,-1.0,31790.66
10,-1.0,-1.0,31811.059999999998,-1.0,31794.22
11,-1.0,-1.0,31823.65,-1.0,31773.81
12,-1.0,-1.0,31810.745000000003,-1.0,31775.36
13,-1.0,-1.0,31810.745000000003,-1.0,31757.66
14,-1.0,-1.0,31810.745000000003,-1.0,31764.66
15,-1.0,-1.0,31807.47,-1.0,31770.24
16,-1.0,-1.0,31788.385000000002,-1.0,31771.11
17,-1.0,-1.0,31743.309999999998,-1.0,31780.0
18,-1.0,-1.0,31737.96,-1.0,31703.49
19,-1.0,-1.0,31737.96,-1.0,31721.09
20,-1.0,-1.0,31737.96,-1.0,31727.69
21,-1.0,-1.0,31737.96,-1.0,31732.71
22,-1.0,-1.0,31752.405,-1.0,31730.82
23,-1.0,-1.0,31756.285,-1.0,31702.33
24,-1.0,-1.0,31756.285,-1.0,31674.06
25,-1.0,-1.0,31756.285,31764.739999999998,31695.36
26,-1.0,-1.0,31756.285,31764.739999999998,31681.03
27,-1.0,-1.0,31764.515,31764.739999999998,31688.89
28,-1.0,-1.0,31785.27,31764.739999999998,31685.62
29,-1.0,-1.0,31787.45,31764.739999999998,31633.27
30,-1.0,-1.0,31805.495000000003,31764.739999999998,31629.69
31,-1.0,-1.0,31809.005,31764.739999999998,31595.97
32,-1.0,-1.0,31809.005,31761.465,31624.11
33,-1.0,-1.0,31809.005,31759.795,31625.35
34,-1.0,-1.0,31809.005,31759.795,31645.59
35,-1.0,-1.0,31809.54,31759.795,31631.56
36,-1.0,-1.0,31818.14,31759.795,31608.09
37,-1.0,-1.0,31813.185,31759.795,31603.02
38,-1.0,-1.0,31811.9,31759.795,31580.92
39,-1.0,-1.0,31809.725,31759.795,31576.72
40,-1.0,-1.0,31789.934999999998,31759.795,31593.68
41,-1.0,-1.0,31789.934999999998,31759.795,31555.22
42,-1.0,-1.0,31785.525,31759.795,31573.82
43,-1.0,-1.0,31779.684999999998,31759.795,31576.89
44,-1.0,-1.0,31746.885000000002,31768.025,31554.34
45,-1.0,-1.0,31738.825,31772.61,31660.07
46,-1.0,-1.0,31734.305,31772.61,31609.55
47,-1.0,-1.0,31734.305,31772.61,31570.22
48,-1.0,-1.0,31734.305,31772.61,31575.26
49,-1.0,-1.0,31732.02,31770.325,31600.68
50,-1.0,-1.0,31729.620000000003,31767.925000000003,31574.22
51,31760.512499999997,-1.0,31727.71,31766.965,31587.0
52,31760.512499999997,-1.0,31723.739999999998,31763.63,31580.76
53,31764.6275,-1.0,31707.095,31763.63,31582.45
54,31775.004999999997,-1.0,31707.095,31763.63,31552.98
55,31776.095,-1.0,31688.205,31745.895,31505.0
56,31785.1175,-1.0,31683.665,31742.065000000002,31512.0
57,31786.872499999998,-1.0,31660.11,31710.114999999998,31490.02
58,31785.235,-1.0,31650.809999999998,31710.114999999998,31497.96
59,31784.4,-1.0,31650.809999999998,31705.705,31521.55
60,31784.4,-1.0,31650.809999999998,31699.864999999998,31535.18
61,31784.6675,-1.0,31644.84,31699.864999999998,31522.6
62,31788.9675,-1.0,31642.555,31691.805,31526.9
63,31786.489999999998,-1.0,31641.629999999997,31687.285,31493.67
64,31785.8475,-1.0,31619.345,31682.735,31499.12
65,31784.76,-1.0,31603.145,31670.735,31499.62
66,31774.864999999998,-1.0,31600.940000000002,31670.735,31482.8
67,31774.864999999998,-1.0,31599.66,31669.455,31490.54
68,31772.66,-1.0,31598.45,31667.295,31474.44
69,31769.739999999998,-1.0,31598.445,31666.66,31454.99
70,31757.455,-1.0,31591.295,31649.870000000003,31467.08
71,31755.7175,-1.0,31600.705,31644.995000000003,31485.71
72,31753.4575,-1.0,31600.705,31643.84,31538.68
73,31753.4575,-1.0,31600.705,31643.13,31504.99
74,31753.4575,-1.0,31600.705,31636.050000000003,31486.35
75,31751.1725,-1.0,31600.705,31626.75,31509.01
76,31748.772500000003,-1.0,31600.705,31626.75,31543.42
77,31747.3375,31764.739999999998,31600.705,31626.75,31531.36
78,31743.684999999998,31764.739999999998,31600.705,31620.78,31525.81
79,31735.362500000003,31764.739999999998,31600.705,31618.495000000003,31536.06
80,31735.362500000003,31764.739999999998,31595.475,31614.86,31523.05
81,31717.050000000003,31750.84,31547.535,31572.83,31472.46
82,31712.865,31747.010000000002,31543.105,31572.83,31478.26
83,31685.1125,31730.535,31543.105,31572.83,31501.67
84,31680.462499999998,31727.260000000002,31540.78,31570.504999999997,31501.12
85,31678.2575,31725.59,31539.385000000002,31570.504999999997,31493.03
86,31675.337499999998,31725.59,31539.37,31570.504999999997,31518.18
87,31672.3525,31725.59,31539.37,31570.504999999997,31507.67
88,31667.18,31725.59,31531.665,31570.504999999997,31510.56
89,31664.457499999997,31725.59,31518.28,31570.504999999997,31492.96
90,31651.04,31721.04,31512.23,31570.504999999997,31567.82
91,31636.940000000002,31709.04,31512.23,31570.504999999997,31553.82
92,31635.8375,31709.04,31506.8,31565.074999999997,31589.77
93,31634.557500000003,31707.760000000002,31506.8,31565.074999999997,31593.71
94,31632.872499999998,31706.550000000003,31506.8,31565.074999999997,31583.83
95,31632.552499999998,31706.550000000003,31487.73,31546.004999999997,31616.16
96,31620.5825,31706.405,31487.73,31546.004999999997,31626.36
97,31622.850000000002,31701.53,31485.61,31543.485,31625.58
98,31622.2725,31701.53,31487.83,31520.71,31617.65
99,31621.917500000003,31701.53,31487.83,31516.28,31586.93
100,31618.377500000002,31701.53,31487.83,31516.28,31602.11
101,31613.7275,31701.53,31487.83,31516.28,31575.1
102,31613.7275,31701.53,31490.934999999998,31514.885000000002,31580.78
103,31613.7275,31701.53,31490.934999999998,31514.87,31566.43
104,31610.7425,31701.53,31495.504999999997,31514.87,31571.07
105,31609.600000000002,31701.53,31507.5,31507.165,31575.19
106,31605.1675,31698.82,31513.47,31493.78,31589.95
107,31560.182500000003,31673.655,31509.705,31490.934999999998,31606.06
108,31557.9675,31673.655,31509.705,31490.934999999998,31598.02
109,31557.9675,31658.18,31509.705,31490.934999999998,31601.76
110,31555.642499999998,31655.855,31509.705,31490.934999999998,31583.19
111,31554.945,31651.445,31506.41,31490.934999999998,31613.1
112,31554.9375,31645.605,31506.309999999998,31490.934999999998,31627.13
113,31554.9375,31645.605,31502.745000000003,31490.934999999998,31628.49
114,31551.085,31637.545,31502.735,31490.934999999998,31627.13
115,31544.392499999998,31633.025,31499.625,31490.934999999998,31607.52
116,31541.3675,31633.025,31520.03,31500.225,31634.49
117,31541.3675,31633.025,31522.135000000002,31500.225,31636.64
118,31535.9375,31627.595,31539.025,31514.82,31623.72
119,31535.9375,31627.595,31539.025,31514.82,31632.72
120,31535.9375,31626.644999999997,31546.205,31515.93,31647.26
121,31516.8675,31606.94,31556.665,31530.96,31649.83
122,31516.8675,31590.295,31568.19,31554.48,31673.77
123,31514.5475,31590.295,31568.19,31556.684999999998,31674.72
124,31504.27,31589.14,31568.19,31556.684999999998,31674.21
125,31502.055,31588.43,31590.96,31556.684999999998,31676.49
126,31502.055,31581.35,31598.28,31556.684999999998,31665.53
127,31502.055,31572.05,31605.045,31556.684999999998,31632.65
128,31502.91,31572.05,31608.21,31556.684999999998,31643.27
129,31502.902499999997,31572.05,31600.754999999997,31556.684999999998,31619.29
130,31505.1875,31566.08,31600.754999999997,31556.684999999998,31638.73
131,31507.3325,31563.795,31593.77,31556.684999999998,31644.21
132,31503.625,31562.87,31591.57,31556.684999999998,31635.29
133,31500.32,31546.004999999997,31588.775,31557.72,31633.92
134,31500.32,31546.004999999997,31583.18,31559.824999999997,31643.0
135,31500.32,31546.004999999997,31583.18,31562.12,31636.09
136,31500.32,31546.004999999997,31583.18,31562.12,31651.7
137,31498.6725,31546.004999999997,31586.465,31568.19,31651.07
138,31498.622499999998,31546.004999999997,31596.745000000003,31568.19,31653.71
139,31496.84,31546.004999999997,31599.89,31568.19,31626.33
140,31496.835,31546.004999999997,31602.345,31568.19,31602.93
141,31495.28,31546.004999999997,31602.345,31568.19,31597.16
142,31510.1275,31546.004999999997,31603.05,31590.96,31596.92
143,31511.18,31546.004999999997,31604.265,31598.28,31542.42
144,31526.9225,31546.004999999997,31604.265,31600.754999999997,31500.0
145,31526.9225,31546.004999999997,31610.675000000003,31600.754999999997,31509.21
146,31531.0675,31546.004999999997,31626.85,31602.405,31512.13
147,31543.8125,31546.004999999997,31631.44,31606.995,31529.0
148,31561.335,31546.004999999997,31642.64,31618.195,31519.98
149,31562.4375,31543.485,31643.22,31618.775,31539.02
150,31562.4375,31537.915,31644.535,31619.555,31544.66
151,31573.8225,31537.915,31653.565,31622.324999999997,31567.99
152,31577.4825,31537.915,31653.565,31622.324999999997,31566.91
153,31580.864999999998,31537.915,31655.41,31622.324999999997,31573.78
154,31582.4475,31537.915,31658.489999999998,31622.324999999997,31547.0
155,31578.719999999998,31537.915,31651.215,31623.184999999998,31567.27
156,31578.719999999998,31537.915,31651.215,31624.975,31573.45
157,31575.2275,31537.915,31651.215,31627.43,31569.23
158,31574.1275,31537.915,31651.215,31627.43,31553.76
159,31573.2475,31537.915,31651.215,31627.43,31514.66
160,31571.5025,31537.915,31645.910000000003,31627.43,31540.52
161,31572.65,31537.915,31644.635000000002,31627.43,31557.09
162,31572.65,31537.915,31635.370000000003,31633.84,31585.46
163,31577.3275,31537.915,31635.370000000003,31646.769999999997,31575.98
164,31582.4675,31537.915,31637.35,31646.769999999997,31569.92
165,31584.04,31537.915,31639.43,31646.769999999997,31575.02
166,31585.2675,31537.915,31615.695,31631.54,31570.14
167,31585.2675,31537.915,31615.695,31631.54,31561.0
168,31597.004999999997,31537.915,31615.695,31631.54,31539.21
169,31601.2725,31537.915,31598.085,31613.93,31515.79
170,31602.51,31537.915,31577.705,31593.55,31488.66
171,31605.715,31537.915,31563.255,31579.105,31466.18
172,31614.6275,31539.565,31563.255,31579.105,31487.28
173,31619.2175,31548.725,31563.255,31579.105,31494.4
174,31630.4175,31571.92,31552.02,31579.105,31509.35
175,31630.9975,31574.705,31542.14,31579.105,31539.2
