,date,detect
54,2021-07-01 03:21:00+04:30,0
55,2021-07-01 03:22:00+04:30,0
56,2021-07-01 03:23:00+04:30,1
57,2021-07-01 03:24:00+04:30,0
58,2021-07-01 03:25:00+04:30,0
59,2021-07-01 03:26:00+04:30,1
60,2021-07-01 03:27:00+04:30,0
61,2021-07-01 03:28:00+04:30,1
62,2021-07-01 03:29:00+04:30,1
63,2021-07-01 03:30:00+04:30,1
64,2021-07-01 03:31:00+04:30,0
65,2021-07-01 03:32:00+04:30,1
66,2021-07-01 03:33:00+04:30,0
67,2021-07-01 03:34:00+04:30,1
68,2021-07-01 03:35:00+04:30,1
69,2021-07-01 03:36:00+04:30,1
70,2021-07-01 03:37:00+04:30,0
71,2021-07-01 03:38:00+04:30,1
72,2021-07-01 03:39:00+04:30,1
73,2021-07-01 03:40:00+04:30,1
74,2021-07-01 03:41:00+04:30,0
75,2021-07-01 03:42:00+04:30,0
76,2021-07-01 03:43:00+04:30,1
77,2021-07-01 03:44:00+04:30,0
78,2021-07-01 03:45:00+04:30,0
79,2021-07-01 03:46:00+04:30,0
80,2021-07-01 03:47:00+04:30,1
81,2021-07-01 03:48:00+04:30,0
82,2021-07-01 03:49:00+04:30,1
83,2021-07-01 03:50:00+04:30,0
84,2021-07-01 03:51:00+04:30,0
85,2021-07-01 03:52:00+04:30,1
86,2021-07-01 03:53:00+04:30,1
87,2021-07-01 03:54:00+04:30,1
88,2021-07-01 03:55:00+04:30,0
89,2021-07-01 03:56:00+04:30,0
90,2021-07-01 03:57:00+04:30,0
91,2021-07-01 03:58:00+04:30,1
92,2021-07-01 03:59:00+04:30,1
93,2021-07-01 04:00:00+04:30,0
94,2021-07-01 04:01:00+04:30,1
95,2021-07-01 04:02:00+04:30,1
96,2021-07-01 04:03:00+04:30,0
97,2021-07-01 04:04:00+04:30,0
98,2021-07-01 04:05:00+04:30,1
99,2021-07-01 04:06:00+04:30,1
100,2021-07-01 04:07:00+04:30,0
101,2021-07-01 04:08:00+04:30,1
102,2021-07-01 04:09:00+04:30,0
103,2021-07-01 04:10:00+04:30,1
104,2021-07-01 04:11:00+04:30,1
105,2021-07-01 04:12:00+04:30,0
106,2021-07-01 04:13:00+04:30,1
107,2021-07-01 04:14:00+04:30,1
108,2021-07-01 04:15:00+04:30,1
109,2021-07-01 04:16:00+04:30,0
110,2021-07-01 04:17:00+04:30,1
111,2021-07-01 04:18:00+04:30,0
112,2021-07-01 04:19:00+04:30,0
113,2021-07-01 04:20:00+04:30,1
114,2021-07-01 04:21:00+04:30,1
115,2021-07-01 04:22:00+04:30,0
116,2021-07-01 04:23:00+04:30,0
117,2021-07-01 04:24:00+04:30,0
118,2021-07-01 04:25:00+04:30,1
119,2021-07-01 04:26:00+04:30,1
120,2021-07-01 04:27:00+04:30,1
121,2021-07-01 04:28:00+04:30,1
122,2021-07-01 04:29:00+04:30,0
123,2021-07-01 04:30:00+04:30,0
124,2021-07-01 04:31:00+04:30,0
125,2021-07-01 04:32:00+04:30,0
126,2021-07-01 04:33:00+04:30,1
127,2021-07-01 04:34:00+04:30,0
128,2021-07-01 04:35:00+04:30,1
129,2021-07-01 04:36:00+04:30,1
130,2021-07-01 04:37:00+04:30,1
131,2021-07-01 04:38:00+04:30,0
132,2021-07-01 04:39:00+04:30,1
133,2021-07-01 04:40:00+04:30,0
134,2021-07-01 04:41:00+04:30,0
135,2021-07-01 04:42:00+04:30,1
136,2021-07-01 04:43:00+04:30,1
137,2021-07-01 04:44:00+04:30,0
138,2021-07-01 04:45:00+04:30,0
139,2021-07-01 04:46:00+04:30,1
140,2021-07-01 04:47:00+04:30,1
141,2021-07-01 04:48:00+04:30,1
142,2021-07-01 04:49:00+04:30,1
143,2021-07-01 04:50:00+04:30,1
144,2021-07-01 04:51:00+04:30,1
145,2021-07-01 04:52:00+04:30,1
146,2021-07-01 04:53:00+04:30,0
147,2021-07-01 04:54:00+04:30,0
148,2021-07-01 04:55:00+04:30,1
149,2021-07-01 04:56:00+04:30,1
150,2021-07-01 04:57:00+04:30,1
151,2021-07-01 04:58:00+04:30,1
152,2021-07-01 04:59:00+04:30,0
153,2021-07-01 05:00:00+04:30,1
154,2021-07-01 05:01:00+04:30,0
155,2021-07-01 05:02:00+04:30,1
156,2021-07-01 05:03:00+04:30,1
157,2021-07-01 05:04:00+04:30,0
158,2021-07-01 05:05:00+04:30,0
159,2021-07-01 05:06:00+04:30,1
160,2021-07-01 05:07:00+04:30,0
161,2021-07-01 05:08:00+04:30,1
162,2021-07-01 05:09:00+04:30,1
163,2021-07-01 05:10:00+04:30,0
164,2021-07-01 05:11:00+04:30,0
165,2021-07-01 05:12:00+04:30,1
166,2021-07-01 05:13:00+04:30,0
167,2021-07-01 05:14:00+04:30,1
168,2021-07-01 05:15:00+04:30,1
