,ISA_9,ISB_26,ITS_9,IKS_26,ICS_26
0,-1.0,-1.0,-1.0,-1.0,33655.67
1,-1.0,-1.0,-1.0,-1.0,33684.24
2,-1.0,-1.0,-1.0,-1.0,33664.26
3,-1.0,-1.0,-1.0,-1.0,33686.13
4,-1.0,-1.0,-1.0,-1.0,33677.42
5,-1.0,-1.0,-1.0,-1.0,33697.31
6,-1.0,-1.0,-1.0,-1.0,33714.39
7,-1.0,-1.0,-1.0,-1.0,33694.32
8,-1.0,-1.0,33830.895000000004,-1.0,33725.58
9,-1.0,-1.0,33830.895000000004,-1.0,33730.75
10,-1.0,-1.0,33830.895000000004,-1.0,33738.96
11,-1.0,-1.0,33830.895000000004,-1.0,33722.27
12,-1.0,-1.0,33818.395000000004,-1.0,33722.25
13,-1.0,-1.0,33773.465,-1.0,33747.51
14,-1.0,-1.0,33773.465,-1.0,33751.92
15,-1.0,-1.0,33751.15,-1.0,33757.35
16,-1.0,-1.0,33747.565,-1.0,33784.99
17,-1.0,-1.0,33737.07,-1.0,33763.74
18,-1.0,-1.0,33737.045,-1.0,33793.09
19,-1.0,-1.0,33737.045,-1.0,33828.29
20,-1.0,-1.0,33737.045,-1.0,33834.46
21,-1.0,-1.0,33717.185,-1.0,33834.96
22,-1.0,-1.0,33721.145000000004,-1.0,33841.31
23,-1.0,-1.0,33727.69,-1.0,33852.09
24,-1.0,-1.0,33727.69,-1.0,33868.81
25,-1.0,-1.0,33728.285,33773.465,33847.61
26,-1.0,-1.0,33703.024999999994,33755.945,33837.58
27,-1.0,-1.0,33703.024999999994,33755.945,33786.55
28,-1.0,-1.0,33703.024999999994,33755.945,33816.84
29,-1.0,-1.0,33703.024999999994,33755.945,33850.0
30,-1.0,-1.0,33703.024999999994,33755.945,33893.07
31,-1.0,-1.0,33703.024999999994,33755.945,33860.76
32,-1.0,-1.0,33703.024999999994,33733.630000000005,33776.6
33,-1.0,-1.0,33703.024999999994,33730.045,33715.95
34,-1.0,-1.0,33683.035,33719.55,33737.81
35,-1.0,-1.0,33683.035,33719.524999999994,33713.3
36,-1.0,-1.0,33686.805,33719.524999999994,33716.79
37,-1.0,-1.0,33704.905,33719.524999999994,33703.81
38,-1.0,-1.0,33710.875,33703.024999999994,33722.28
39,-1.0,-1.0,33713.369999999995,33703.024999999994,33666.9
40,-1.0,-1.0,33723.19,33703.024999999994,33665.21
41,-1.0,-1.0,33723.19,33703.024999999994,33647.94
42,-1.0,-1.0,33741.42,33709.31,33665.01
43,-1.0,-1.0,33755.035,33713.97,33696.43
44,-1.0,-1.0,33756.115000000005,33715.05,33650.0
45,-1.0,-1.0,33780.095,33739.03,33645.17
46,-1.0,-1.0,33781.115000000005,33740.05,33663.79
47,-1.0,-1.0,33798.125,33752.05,33664.39
48,-1.0,-1.0,33798.125,33752.05,33676.66
49,-1.0,-1.0,33798.125,33752.05,33671.31
50,-1.0,-1.0,33810.6,33764.524999999994,33679.45
51,33750.875,-1.0,33810.6,33764.524999999994,33649.3
52,33729.485,-1.0,33810.6,33764.524999999994,33647.21
53,33729.485,-1.0,33838.005,33764.524999999994,33650.13
54,33729.485,-1.0,33838.005,33781.88,33658.32
55,33729.485,-1.0,33838.005,33787.85,33654.14
56,33729.485,-1.0,33845.83,33795.675,33678.67
57,33729.485,-1.0,33845.83,33798.19,33675.88
58,33718.3275,-1.0,33817.405,33798.19,33731.17
59,33716.534999999996,-1.0,33807.31,33804.46,33692.52
60,33701.2925,-1.0,33807.31,33807.31,33698.95
61,33701.28,-1.0,33807.31,33807.31,33637.6
62,33703.16499999999,-1.0,33796.97,33796.97,33587.36
63,33712.215,-1.0,33796.97,33796.97,33617.4
64,33706.95,-1.0,33796.97,33796.97,33554.84
65,33708.197499999995,-1.0,33787.22,33790.555,33537.3
66,33713.1075,-1.0,33766.565,33789.035,33544.99
67,33713.1075,-1.0,33719.06,33780.125,33526.26
68,33725.365,-1.0,33699.66,33777.7,33544.41
69,33734.5025,-1.0,33689.725000000006,33777.7,33568.79
70,33735.582500000004,-1.0,33682.9,33777.7,33556.53
71,33759.5625,-1.0,33682.9,33777.7,33551.73
72,33760.582500000004,-1.0,33682.9,33777.7,33559.56
73,33775.0875,-1.0,33681.73,33777.7,33545.65
74,33775.0875,-1.0,33669.82,33777.7,33531.17
75,33775.0875,-1.0,33669.82,33777.7,33535.76
76,33787.5625,-1.0,33669.82,33777.7,33552.69
77,33787.5625,33764.524999999994,33668.104999999996,33775.985,33543.41
78,33787.5625,33764.524999999994,33666.9,33775.985,33572.31
79,33801.265,33764.524999999994,33664.61,33775.985,33560.03
80,33809.9425,33764.524999999994,33664.61,33775.985,33554.3
81,33812.9275,33764.524999999994,33664.61,33775.985,33540.01
82,33820.7525,33772.35,33662.9,33772.65,33547.04
83,33822.01,33772.35,33663.685,33753.515,33534.56
84,33807.7975,33772.35,33693.04,33714.92,33522.02
85,33805.884999999995,33772.35,33693.095,33697.945,33505.92
86,33807.31,33772.35,33695.335,33693.095,33493.24
87,33807.31,33772.35,33693.21,33693.095,33526.82
88,33796.97,33772.35,33659.935,33659.935,33538.29
89,33796.97,33772.35,33659.935,33659.935,33558.98
90,33796.97,33772.35,33650.185,33650.185,33588.01
91,33788.8875,33772.35,33625.494999999995,33625.494999999995,33580.66
92,33777.8,33772.35,33625.494999999995,33625.494999999995,33575.15
93,33749.5925,33772.35,33625.494999999995,33625.494999999995,33596.0
94,33738.68,33772.35,33606.425,33625.494999999995,33585.55
95,33733.7125,33772.35,33602.085,33625.494999999995,33595.82
96,33730.3,33772.35,33573.634999999995,33625.494999999995,33561.35
97,33730.3,33772.35,33564.045,33625.494999999995,33583.03
98,33730.3,33772.35,33562.29,33625.494999999995,33594.29
99,33729.715,33772.35,33540.985,33625.494999999995,33578.04
100,33723.759999999995,33772.35,33551.990000000005,33625.494999999995,33557.89
101,33723.759999999995,33772.35,33545.84,33625.494999999995,33560.94
102,33723.759999999995,33772.35,33545.84,33625.494999999995,33559.13
103,33722.045,33772.35,33545.84,33625.494999999995,33542.55
104,33721.442500000005,33772.35,33545.84,33625.494999999995,33590.0
105,33720.2975,33772.35,33545.84,33625.494999999995,33612.25
106,33720.2975,33775.985,33545.84,33625.494999999995,33623.52
107,33720.2975,33775.985,33545.84,33625.494999999995,33623.09
108,33717.775,33775.985,33544.58,33625.494999999995,33667.36
109,33708.6,33775.985,33544.58,33625.494999999995,33648.95
110,33703.979999999996,33775.985,33549.64,33625.494999999995,33652.33
111,33695.520000000004,33775.985,33537.395000000004,33604.095,33646.64
112,33694.215,33775.985,33508.93,33571.29,33628.86
113,33693.1525,33775.985,33508.93,33542.84,33618.14
114,33659.935,33742.825,33505.165,33533.25,33592.73
115,33659.935,33742.825,33505.155,33531.495,33587.72
116,33650.185,33733.075,33520.285,33520.285,33621.3
117,33625.494999999995,33708.384999999995,33524.435,33524.435,33631.1
118,33625.494999999995,33708.384999999995,33524.435,33524.435,33601.77
119,33625.494999999995,33708.384999999995,33524.79,33524.79,33618.35
120,33615.96,33708.384999999995,33524.79,33524.79,33662.49
121,33613.78999999999,33708.384999999995,33549.515,33524.79,33648.82
122,33599.564999999995,33708.384999999995,33554.494999999995,33524.79,33664.25
123,33594.77,33708.384999999995,33573.0,33524.79,33715.46
124,33593.8925,33708.384999999995,33579.494999999995,33524.79,33730.48
125,33583.24,33708.384999999995,33579.494999999995,33524.79,33693.79
126,33588.7425,33708.384999999995,33579.494999999995,33524.79,33691.28
127,33585.667499999996,33708.384999999995,33578.0,33524.79,33684.7
128,33585.667499999996,33708.384999999995,33573.5,33524.79,33706.35
129,33585.667499999996,33708.384999999995,33568.08,33524.79,33712.94
130,33585.667499999996,33708.384999999995,33568.08,33524.79,33733.82
131,33585.667499999996,33708.384999999995,33583.145000000004,33535.354999999996,33723.5
132,33585.667499999996,33708.384999999995,33583.145000000004,33535.354999999996,33717.89
133,33585.667499999996,33708.384999999995,33583.145000000004,33535.354999999996,33742.76
134,33585.0375,33705.05,33611.08,33563.29,33738.98
135,33585.0375,33685.915,33611.08,33563.29,33753.57
136,33587.5675,33647.32,33611.08,33563.29,33729.22
137,33570.745,33628.015,33611.08,33563.29,33709.57
138,33540.11,33594.7,33613.8,33588.015,33682.04
139,33525.884999999995,33594.7,33638.0,33592.994999999995,33678.06
140,33519.207500000004,33594.7,33637.869999999995,33611.08,33676.27
141,33518.325,33594.7,33633.17,33611.08,33696.13
142,33520.285,33594.7,33633.17,33611.08,33710.34
143,33524.435,33594.7,33623.009999999995,33611.08,33689.59
144,33524.435,33594.7,33617.005,33611.08,33670.29
145,33524.79,33594.7,33616.335,33611.08,33673.85
146,33524.79,33594.7,33621.46,33611.08,33691.56
