,date,tenkensen,kijunsen,spanA,spanB,chiku,kijunAndSpanBCross,tenkensenAndkijunsen,priceAndABSpan,tenkensenAndPriceWithKijunsen,sAAndB
0,1962-01-22,0,0,0,0,-1.0,0,0,0,0,0
1,1962-01-23,0,0,0,0,-1.0,0,0,0,0,0
2,1962-01-24,0,0,0,0,-1.0,0,0,0,0,0
3,1962-01-25,0,0,0,0,-1.0,0,0,0,0,0
4,1962-01-26,0,0,0,0,-1.0,0,0,0,0,0
5,1962-01-29,0,0,0,0,-1.0,0,0,0,0,0
6,1962-01-30,0,0,0,0,-1.0,0,0,0,0,0
7,1962-01-31,0,0,0,0,-1.0,0,0,0,0,0
8,1962-02-01,0,0,0,0,-1.0,0,0,0,0,0
9,1962-02-02,1,0,0,0,-1.0,0,0,0,0,0
10,1962-02-05,1,0,0,0,-1.0,0,0,0,0,0
11,1962-02-06,1,0,0,0,-1.0,0,0,0,0,0
12,1962-02-07,1,0,0,0,-1.0,0,0,0,0,0
13,1962-02-08,1,0,0,0,-1.0,0,0,0,0,0
14,1962-02-09,1,0,0,0,-1.0,0,0,0,0,0
15,1962-02-12,1,0,0,0,-1.0,0,0,0,0,0
16,1962-02-13,1,0,0,0,-1.0,0,0,0,0,0
17,1962-02-14,0,0,0,0,-1.0,0,0,0,0,0
18,1962-02-15,0,0,0,0,-1.0,0,0,0,0,0
19,1962-02-16,0,0,0,0,-1.0,0,0,0,0,0
20,1962-02-19,0,0,0,0,-1.0,0,0,0,0,0
21,1962-02-20,0,0,0,0,-1.0,0,0,0,0,0
22,1962-02-21,0,0,0,0,-1.0,0,0,0,0,0
23,1962-02-23,0,0,0,0,-1.0,0,0,0,0,0
24,1962-02-26,0,0,0,0,-1.0,0,0,0,0,0
25,1962-02-27,0,0,0,0,-1.0,0,0,0,0,0
26,1962-02-28,0,0,0,0,0.0,0,0,0,0,0
27,1962-03-01,1,0,0,0,1.0,0,0,0,0,0
28,1962-03-02,1,0,0,0,0.0,0,0,0,0,0
29,1962-03-05,1,1,0,0,1.0,0,0,0,0,0
30,1962-03-06,1,1,0,0,1.0,0,0,0,0,0
31,1962-03-07,1,1,0,0,1.0,0,0,0,0,0
32,1962-03-08,1,1,0,0,1.0,0,0,0,0,0
33,1962-03-09,1,1,0,0,1.0,0,0,0,0,0
34,1962-03-12,1,1,0,0,0.0,0,1,0,1,0
35,1962-03-13,1,1,0,0,0.0,0,1,0,1,0
36,1962-03-14,1,1,0,0,0.0,0,1,0,1,0
37,1962-03-15,1,1,0,0,0.0,0,1,0,1,0
38,1962-03-16,1,1,0,0,0.0,0,1,0,1,0
39,1962-03-19,1,1,0,0,0.0,0,1,0,1,0
40,1962-03-20,0,1,0,0,0.0,0,1,0,0,0
41,1962-03-21,1,1,0,0,0.0,0,1,0,1,0
42,1962-03-22,0,0,0,0,0.0,0,1,0,0,0
43,1962-03-23,0,1,0,0,0.0,0,1,0,0,0
