,date,ITS_9_tenkensen,IKS_26_kijunsen,ISA_9_spanA,ISB_26_spanB,chiku,kijunAndSpanBCross,tenkensenAndkijunsen,priceAndABSpan,tenkensenAndPriceWithKijunsen,sAAndB
0,2021-07-11 05:28:00+04:30,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1
1,2021-07-11 05:29:00+04:30,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1
2,2021-07-11 05:30:00+04:30,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1
3,2021-07-11 05:31:00+04:30,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1
4,2021-07-11 05:32:00+04:30,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1
5,2021-07-11 05:33:00+04:30,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1
6,2021-07-11 05:34:00+04:30,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1
7,2021-07-11 05:35:00+04:30,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1
8,2021-07-11 05:36:00+04:30,0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1
9,2021-07-11 05:37:00+04:30,0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1
10,2021-07-11 05:38:00+04:30,0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1
11,2021-07-11 05:39:00+04:30,0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1
12,2021-07-11 05:40:00+04:30,0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1
13,2021-07-11 05:41:00+04:30,0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1
14,2021-07-11 05:42:00+04:30,1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1
15,2021-07-11 05:43:00+04:30,1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1
16,2021-07-11 05:44:00+04:30,1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1
17,2021-07-11 05:45:00+04:30,1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1
18,2021-07-11 05:46:00+04:30,1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1
19,2021-07-11 05:47:00+04:30,1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1
20,2021-07-11 05:48:00+04:30,0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1
21,2021-07-11 05:49:00+04:30,0,-1,-1,-1,-1.0,-1,-1,-1,-1,-1
22,2021-07-11 05:50:00+04:30,1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1
23,2021-07-11 05:51:00+04:30,1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1
24,2021-07-11 05:52:00+04:30,1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1
25,2021-07-11 05:53:00+04:30,1,1,-1,-1,-1.0,-1,0,-1,0,-1
26,2021-07-11 05:54:00+04:30,1,0,-1,-1,0.0,-1,0,-1,0,-1
27,2021-07-11 05:55:00+04:30,1,1,-1,-1,0.0,-1,0,-1,0,-1
28,2021-07-11 05:56:00+04:30,1,1,-1,-1,0.0,-1,-1,-1,0,-1
29,2021-07-11 05:57:00+04:30,1,1,-1,-1,0.0,-1,-1,-1,0,-1
30,2021-07-11 05:58:00+04:30,1,1,-1,-1,0.0,-1,1,-1,1,-1
31,2021-07-11 05:59:00+04:30,1,1,-1,-1,1.0,-1,1,-1,1,-1
32,2021-07-11 06:00:00+04:30,1,1,-1,-1,1.0,-1,1,-1,1,-1
33,2021-07-11 06:01:00+04:30,0,0,-1,-1,1.0,-1,1,-1,0,-1
34,2021-07-11 06:02:00+04:30,0,0,-1,-1,1.0,-1,1,-1,0,-1
35,2021-07-11 06:03:00+04:30,1,1,-1,-1,1.0,-1,1,-1,1,-1
36,2021-07-11 06:04:00+04:30,1,1,-1,-1,1.0,-1,1,-1,1,-1
37,2021-07-11 06:05:00+04:30,1,1,-1,-1,1.0,-1,1,-1,1,-1
38,2021-07-11 06:06:00+04:30,1,1,-1,-1,1.0,-1,1,-1,1,-1
39,2021-07-11 06:07:00+04:30,1,1,-1,-1,1.0,-1,1,-1,1,-1
40,2021-07-11 06:08:00+04:30,1,1,-1,-1,1.0,-1,1,-1,1,-1
41,2021-07-11 06:09:00+04:30,1,1,-1,-1,1.0,-1,1,-1,1,-1
42,2021-07-11 06:10:00+04:30,0,0,-1,-1,1.0,-1,1,-1,0,-1
43,2021-07-11 06:11:00+04:30,0,0,-1,-1,0.0,-1,1,-1,0,-1
44,2021-07-11 06:12:00+04:30,0,0,-1,-1,0.0,-1,1,-1,0,-1
45,2021-07-11 06:13:00+04:30,0,0,-1,-1,0.0,-1,-1,-1,0,-1
46,2021-07-11 06:14:00+04:30,0,0,-1,-1,0.0,-1,-1,-1,0,-1
47,2021-07-11 06:15:00+04:30,0,0,-1,-1,1.0,-1,-1,-1,0,-1
48,2021-07-11 06:16:00+04:30,0,0,-1,-1,0.0,-1,-1,-1,0,-1
49,2021-07-11 06:17:00+04:30,0,0,-1,-1,0.0,-1,-1,-1,0,-1
50,2021-07-11 06:18:00+04:30,0,0,-1,-1,0.0,-1,-1,-1,0,-1
51,2021-07-11 06:19:00+04:30,0,0,0,-1,0.0,-1,0,-1,0,-1
52,2021-07-11 06:20:00+04:30,0,0,0,-1,0.0,-1,0,-1,0,-1
53,2021-07-11 06:21:00+04:30,0,0,0,-1,0.0,-1,0,-1,0,-1
54,2021-07-11 06:22:00+04:30,1,0,0,-1,0.0,-1,0,-1,0,-1
55,2021-07-11 06:23:00+04:30,1,0,0,-1,0.0,-1,0,-1,0,-1
56,2021-07-11 06:24:00+04:30,0,0,0,-1,0.0,-1,0,-1,0,-1
57,2021-07-11 06:25:00+04:30,1,0,0,-1,0.0,-1,0,-1,0,-1
58,2021-07-11 06:26:00+04:30,1,0,0,-1,0.0,-1,0,-1,0,-1
59,2021-07-11 06:27:00+04:30,1,0,0,-1,0.0,-1,0,-1,0,-1
60,2021-07-11 06:28:00+04:30,1,0,0,-1,0.0,-1,0,-1,0,-1
61,2021-07-11 06:29:00+04:30,0,0,0,-1,0.0,-1,0,-1,0,-1
62,2021-07-11 06:30:00+04:30,0,0,0,-1,0.0,-1,0,-1,0,-1
63,2021-07-11 06:31:00+04:30,1,0,0,-1,0.0,-1,0,-1,0,-1
64,2021-07-11 06:32:00+04:30,1,0,0,-1,0.0,-1,0,-1,0,-1
65,2021-07-11 06:33:00+04:30,1,0,0,-1,0.0,-1,0,-1,0,-1
66,2021-07-11 06:34:00+04:30,0,0,0,-1,0.0,-1,0,-1,0,-1
67,2021-07-11 06:35:00+04:30,0,0,0,-1,0.0,-1,0,-1,0,-1
68,2021-07-11 06:36:00+04:30,1,1,0,-1,0.0,-1,1,-1,1,-1
69,2021-07-11 06:37:00+04:30,1,1,0,-1,0.0,-1,1,-1,1,-1
70,2021-07-11 06:38:00+04:30,0,1,0,-1,0.0,-1,1,-1,0,-1
71,2021-07-11 06:39:00+04:30,0,1,0,-1,1.0,-1,1,-1,0,-1
72,2021-07-11 06:40:00+04:30,0,0,0,-1,0.0,-1,1,-1,0,-1
73,2021-07-11 06:41:00+04:30,1,1,0,-1,1.0,-1,1,-1,1,-1
74,2021-07-11 06:42:00+04:30,1,1,0,-1,1.0,-1,1,-1,1,-1
75,2021-07-11 06:43:00+04:30,0,1,0,-1,1.0,-1,1,-1,0,-1
76,2021-07-11 06:44:00+04:30,0,1,0,-1,1.0,-1,1,-1,0,-1
77,2021-07-11 06:45:00+04:30,0,0,0,0,1.0,0,1,0,0,0
78,2021-07-11 06:46:00+04:30,0,0,0,0,0.0,0,-1,0,0,0
79,2021-07-11 06:47:00+04:30,0,0,0,0,0.0,0,-1,0,0,0
80,2021-07-11 06:48:00+04:30,0,0,0,0,0.0,0,-1,0,0,0
81,2021-07-11 06:49:00+04:30,0,0,0,0,0.0,0,-1,0,0,0
82,2021-07-11 06:50:00+04:30,0,0,0,0,0.0,0,-1,0,0,0
83,2021-07-11 06:51:00+04:30,0,0,0,0,0.0,0,0,0,0,0
84,2021-07-11 06:52:00+04:30,0,0,0,0,0.0,0,0,0,0,0
85,2021-07-11 06:53:00+04:30,0,0,0,0,0.0,0,0,0,0,0
86,2021-07-11 06:54:00+04:30,0,0,0,0,0.0,0,0,0,0,0
87,2021-07-11 06:55:00+04:30,0,0,0,0,0.0,0,0,0,0,0
88,2021-07-11 06:56:00+04:30,0,0,0,0,0.0,0,0,0,0,0
89,2021-07-11 06:57:00+04:30,1,0,0,0,0.0,0,0,0,0,0
90,2021-07-11 06:58:00+04:30,0,0,0,0,0.0,0,0,0,0,0
91,2021-07-11 06:59:00+04:30,1,0,0,0,0.0,0,0,0,0,0
92,2021-07-11 07:00:00+04:30,1,0,0,0,0.0,0,0,0,0,0
93,2021-07-11 07:01:00+04:30,0,0,0,0,0.0,0,0,0,0,0
94,2021-07-11 07:02:00+04:30,1,0,0,0,0.0,0,0,0,0,0
95,2021-07-11 07:03:00+04:30,1,0,0,0,0.0,0,0,0,0,0
96,2021-07-11 07:04:00+04:30,0,0,0,0,0.0,0,0,0,0,0
97,2021-07-11 07:05:00+04:30,1,0,0,0,0.0,0,0,0,0,0
98,2021-07-11 07:06:00+04:30,1,1,0,0,0.0,0,0,0,0,0
99,2021-07-11 07:07:00+04:30,1,1,0,0,0.0,0,0,0,0,0
100,2021-07-11 07:08:00+04:30,1,1,0,0,0.0,0,0,0,0,0
101,2021-07-11 07:09:00+04:30,1,1,0,0,0.0,0,1,0,1,0
102,2021-07-11 07:10:00+04:30,1,1,0,0,0.0,0,1,0,1,0
103,2021-07-11 07:11:00+04:30,0,1,0,0,0.0,0,1,0,0,0
104,2021-07-11 07:12:00+04:30,1,1,0,0,1.0,0,1,0,1,0
105,2021-07-11 07:13:00+04:30,1,1,1,0,1.0,0,1,0,1,0
106,2021-07-11 07:14:00+04:30,1,1,0,0,0.0,0,1,0,1,0
107,2021-07-11 07:15:00+04:30,1,1,1,0,1.0,0,1,0,1,0
108,2021-07-11 07:16:00+04:30,1,1,0,0,1.0,0,1,0,1,0
109,2021-07-11 07:17:00+04:30,1,1,1,0,1.0,0,1,0,1,0
110,2021-07-11 07:18:00+04:30,1,1,1,0,1.0,0,1,0,1,0
111,2021-07-11 07:19:00+04:30,1,1,1,0,1.0,0,1,0,1,0
112,2021-07-11 07:20:00+04:30,1,1,1,0,1.0,0,1,0,1,0
113,2021-07-11 07:21:00+04:30,1,1,1,0,1.0,0,1,0,1,0
114,2021-07-11 07:22:00+04:30,1,1,1,0,1.0,0,1,0,1,0
115,2021-07-11 07:23:00+04:30,0,1,1,0,1.0,0,1,0,0,0
116,2021-07-11 07:24:00+04:30,0,1,1,0,1.0,0,1,0,0,0
117,2021-07-11 07:25:00+04:30,0,0,1,0,1.0,0,1,0,0,0
118,2021-07-11 07:26:00+04:30,0,0,0,0,0.0,0,1,0,0,0
119,2021-07-11 07:27:00+04:30,0,0,0,0,0.0,0,0,0,0,0
120,2021-07-11 07:28:00+04:30,0,0,0,0,0.0,0,0,0,0,0
121,2021-07-11 07:29:00+04:30,0,0,0,0,0.0,0,0,0,0,0
122,2021-07-11 07:30:00+04:30,0,0,0,0,0.0,0,0,0,0,0
123,2021-07-11 07:31:00+04:30,0,0,0,0,0.0,0,0,0,0,0
124,2021-07-11 07:32:00+04:30,0,0,0,0,0.0,0,0,0,0,0
125,2021-07-11 07:33:00+04:30,0,0,0,0,0.0,0,0,0,0,0
126,2021-07-11 07:34:00+04:30,0,0,0,0,0.0,0,0,0,0,0
127,2021-07-11 07:35:00+04:30,0,0,0,0,0.0,0,0,0,0,0
128,2021-07-11 07:36:00+04:30,0,0,0,0,0.0,0,0,0,0,0
129,2021-07-11 07:37:00+04:30,0,0,0,0,0.0,0,0,0,0,0
130,2021-07-11 07:38:00+04:30,0,0,0,0,0.0,0,0,0,0,0
131,2021-07-11 07:39:00+04:30,0,0,0,0,0.0,0,0,0,0,0
132,2021-07-11 07:40:00+04:30,0,0,0,0,0.0,0,0,0,0,0
133,2021-07-11 07:41:00+04:30,0,0,0,0,0.0,0,0,0,0,1
134,2021-07-11 07:42:00+04:30,0,0,0,0,0.0,0,0,0,0,1
135,2021-07-11 07:43:00+04:30,1,0,0,0,0.0,0,0,0,0,1
136,2021-07-11 07:44:00+04:30,1,0,0,0,0.0,0,0,0,0,1
137,2021-07-11 07:45:00+04:30,1,0,0,0,0.0,0,0,0,0,1
138,2021-07-11 07:46:00+04:30,1,0,0,0,0.0,0,0,0,0,1
139,2021-07-11 07:47:00+04:30,1,0,0,0,0.0,0,0,0,0,1
140,2021-07-11 07:48:00+04:30,1,0,0,0,0.0,0,0,0,0,1
141,2021-07-11 07:49:00+04:30,1,0,0,0,0.0,0,0,0,0,1
142,2021-07-11 07:50:00+04:30,1,0,0,0,0.0,0,0,0,0,1
143,2021-07-11 07:51:00+04:30,1,0,0,0,0.0,0,0,0,0,1
144,2021-07-11 07:52:00+04:30,0,0,0,0,0.0,0,0,0,0,0
145,2021-07-11 07:53:00+04:30,1,1,0,0,0.0,0,0,0,0,0
146,2021-07-11 07:54:00+04:30,1,1,0,0,1.0,0,0,0,0,0
147,2021-07-11 07:55:00+04:30,1,1,0,0,1.0,0,1,0,1,0
148,2021-07-11 07:56:00+04:30,1,1,0,0,0.0,0,1,0,1,0
149,2021-07-11 07:57:00+04:30,0,0,0,0,0.0,0,1,0,0,0
150,2021-07-11 07:58:00+04:30,0,0,0,0,0.0,0,0,0,0,0
151,2021-07-11 07:59:00+04:30,0,0,0,0,0.0,0,0,0,0,0
152,2021-07-11 08:00:00+04:30,1,1,0,0,0.0,0,-1,0,0,0
153,2021-07-11 08:01:00+04:30,1,1,0,0,0.0,0,-1,0,0,0
154,2021-07-11 08:02:00+04:30,1,1,0,0,0.0,0,-1,0,0,0
155,2021-07-11 08:03:00+04:30,1,1,0,0,0.0,0,0,0,0,0
156,2021-07-11 08:04:00+04:30,1,1,0,0,1.0,0,0,0,0,0
157,2021-07-11 08:05:00+04:30,0,0,0,0,1.0,0,0,0,0,0
158,2021-07-11 08:06:00+04:30,0,0,0,0,0.0,0,0,0,0,0
159,2021-07-11 08:07:00+04:30,1,1,0,0,0.0,0,0,0,0,0
160,2021-07-11 08:08:00+04:30,0,1,0,0,1.0,0,1,0,0,0
161,2021-07-11 08:09:00+04:30,0,0,0,0,0.0,0,1,0,0,0
162,2021-07-11 08:10:00+04:30,0,0,0,0,0.0,0,0,0,0,0
163,2021-07-11 08:11:00+04:30,0,0,0,0,0.0,0,0,0,0,0
164,2021-07-11 08:12:00+04:30,0,0,0,0,0.0,0,0,0,0,0
165,2021-07-11 08:13:00+04:30,0,0,0,0,0.0,0,0,0,0,0
166,2021-07-11 08:14:00+04:30,0,0,0,0,0.0,0,0,0,0,0
167,2021-07-11 08:15:00+04:30,0,0,0,0,0.0,0,0,0,0,0
168,2021-07-11 08:16:00+04:30,0,0,0,0,0.0,0,0,0,0,0
169,2021-07-11 08:17:00+04:30,0,0,0,0,0.0,0,0,0,0,0
170,2021-07-11 08:18:00+04:30,1,0,0,0,0.0,0,0,0,0,0
171,2021-07-11 08:19:00+04:30,1,1,0,0,0.0,0,0,0,0,0
