,date,ITS_9_tenkensen,IKS_26_kijunsen,ISA_9_spanA,ISB_26_spanB,IKS_26_chiku,kijunAndSpanBCross
1,2021-06-30 01:36:00+04:30,-1,-1,-1,-1,-1,-1
2,2021-06-30 01:37:00+04:30,-1,-1,-1,-1,-1,-1
3,2021-06-30 01:38:00+04:30,-1,-1,-1,-1,-1,-1
4,2021-06-30 01:39:00+04:30,-1,-1,-1,-1,-1,-1
5,2021-06-30 01:40:00+04:30,-1,-1,-1,-1,-1,-1
6,2021-06-30 01:41:00+04:30,-1,-1,-1,-1,-1,-1
7,2021-06-30 01:42:00+04:30,-1,-1,-1,-1,-1,-1
8,2021-06-30 01:43:00+04:30,-1,-1,-1,-1,-1,-1
9,2021-06-30 01:44:00+04:30,0,-1,-1,-1,-1,-1
10,2021-06-30 01:45:00+04:30,1,-1,-1,-1,-1,-1
11,2021-06-30 01:46:00+04:30,1,-1,-1,-1,-1,-1
12,2021-06-30 01:47:00+04:30,1,-1,-1,-1,-1,-1
13,2021-06-30 01:48:00+04:30,1,-1,-1,-1,-1,-1
14,2021-06-30 01:49:00+04:30,1,-1,-1,-1,-1,-1
15,2021-06-30 01:50:00+04:30,1,-1,-1,-1,-1,-1
16,2021-06-30 01:51:00+04:30,1,-1,-1,-1,-1,-1
17,2021-06-30 01:52:00+04:30,1,-1,-1,-1,-1,-1
18,2021-06-30 01:53:00+04:30,1,-1,-1,-1,-1,-1
19,2021-06-30 01:54:00+04:30,1,-1,-1,-1,-1,-1
20,2021-06-30 01:55:00+04:30,1,-1,-1,-1,-1,-1
21,2021-06-30 01:56:00+04:30,1,-1,-1,-1,-1,-1
22,2021-06-30 01:57:00+04:30,1,-1,-1,-1,-1,-1
23,2021-06-30 01:58:00+04:30,1,-1,-1,-1,-1,-1
24,2021-06-30 01:59:00+04:30,0,-1,-1,-1,-1,-1
25,2021-06-30 02:00:00+04:30,0,-1,-1,-1,-1,-1
26,2021-06-30 02:01:00+04:30,1,1,-1,-1,0,-1
27,2021-06-30 02:02:00+04:30,1,1,-1,-1,0,-1
28,2021-06-30 02:03:00+04:30,0,0,-1,-1,1,-1
29,2021-06-30 02:04:00+04:30,0,0,-1,-1,1,-1
30,2021-06-30 02:05:00+04:30,0,0,-1,-1,1,-1
